source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pvalue
SMAD3,PAEP,hgnc:uniprot:Q54X03,DANCR,Complex,Complex,IncreaseAmount,0.89,0.9929999999999989,0.9419,1,29,4,0.28061128,0.030154801608814
SMAD3,hgnc:uniprot.chain:PRO_0000032458,MYC,ZNHIT6,Activation,Activation,DecreaseAmount,0.923,0.99387427664975,0.79,3,12,1,0.39135313,0.030621608275863
SMAD3,hgnc:mesh:D009369,hgnc:mesh:D020031,CD70,Inhibition,Activation,DecreaseAmount,0.99912489666425,0.979665,0.86,3,1,2,0.17915212,0.0306309451047637
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,POP5,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.36194414,0.0306309451047637
SMAD3,IL6,hgnc:mesh:D014028,SBDS,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.24088837,0.03124943865663
SMAD3,hgnc:mesh:D017382,hgnc:mesh:D004785,MTCH2,DecreaseAmount,Inhibition,DecreaseAmount,0.923,0.86,0.89,3,2,1,0.26061967,0.0321793949778852
SMAD3,PAX8,PAX4,FGFR1OP2,Inhibition,Inhibition,DecreaseAmount,0.9793499999999999,0.86,0.79,2,2,1,0.31121182,0.0322248832627853
SMAD3,hgnc:uniprot:P27958,NRF1,SCAMP2,Complex,Activation,DecreaseAmount,0.86,0.957125,0.79,2,3,1,0.45232406,0.0328741411652426
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,IKBIP,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.26032495,0.0335362482521029
SMAD3,hgnc:uniprot.chain:PRO_0000032458,RELA,EIF4H,Activation,Dephosphorylation,DecreaseAmount,0.923,0.86,0.86,3,2,2,0.25122526,0.0337927530263881
SMAD3,RB1,THAP1,TTC32,Complex,Complex,DecreaseAmount,0.86,0.8775000000000001,0.89,2,2,1,0.41681036,0.0339131414396077
SMAD3,IL6,hgnc:mesh:D014028,COL4A5,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.28217986,0.0341293987670589
SMAD3,hgnc:uniprot.chain:PRO_0000032458,ATF2,SARNP,Activation,Phosphorylation,DecreaseAmount,0.923,0.8775000000000001,0.79,3,2,1,0.23928076,0.0346899190067642
SMAD3,hgnc:uniprot:P27958,NRF1,VPS26B,Complex,Activation,DecreaseAmount,0.86,0.957125,0.79,2,3,1,0.5325774,0.0351163267606081
SMAD3,IL6,hgnc:mesh:D014028,GCC2,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.3166663,0.0351233254751804
SMAD3,hgnc:uniprot.chain:PRO_0000032458,ATF4,HNRNPAB,Activation,Inhibition,DecreaseAmount,0.923,0.86,0.79,3,2,1,0.15588123,0.0356604956428028
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,FERMT3,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.98,2,2,1,0.20418224,0.0358327955099278
SMAD3,IL6,hgnc:mesh:D014028,PNP,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.30281684,0.0361633774402637
SMAD3,IL6,hgnc:mesh:D014028,PEAK1,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.26448554,0.0362226185285453
SMAD3,hgnc:uniprot.chain:PRO_0000032458,POU2F1,TSPAN5,Activation,Activation,DecreaseAmount,0.923,0.923,0.79,3,3,1,0.23467913,0.0362567645437533
SMAD3,TWIST1,POU6F1,STAU1,Activation,Activation,DecreaseAmount,0.957125,0.86,0.79,3,2,1,0.16025062,0.0366741074633304
SMAD3,hgnc:mesh:D017382,FOXO4,ROBO4,DecreaseAmount,Activation,DecreaseAmount,0.923,0.9497812999999999,0.79,3,7,1,0.23924197,0.0367504260338296
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:mesh:D009369,IL13RA2,Activation,Activation,IncreaseAmount,0.923,0.9998749507924128,0.97305,3,13,2,0.20437366,0.0367558825331952
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,NT5C,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.98,2,2,1,0.2728329,0.0369472952411072
SMAD3,BCL2,POU2F2,RPN1,DecreaseAmount,Complex,IncreaseAmount,0.941,0.8775000000000001,0.89,1,2,1,0.23045161,0.0372921360465113
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,ARPC5L,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.98,2,2,2,0.2340367,0.0373087128720563
SMAD3,IL6,hgnc:mesh:D014028,SUCLG2,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.29040214,0.038735147686596
SMAD3,PAX8,PAX4,ARHGAP24,Inhibition,Inhibition,DecreaseAmount,0.9793499999999999,0.86,0.79,2,2,1,0.34235963,0.0393093146566005
SMAD3,RFX5,RFX1,MEIS2,DecreaseAmount,Complex,DecreaseAmount,0.79,0.86,0.79,1,2,1,0.30557323,0.0398322276346573
SMAD3,RFX5,RFX1,KLHDC10,DecreaseAmount,Complex,DecreaseAmount,0.79,0.86,0.79,1,2,1,0.4981656,0.0401546821312948
SMAD3,IL6,hgnc:mesh:D014028,IQGAP1,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.20464236,0.0401958801856398
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,MYCT1,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.31284305,0.040445795030843
SMAD3,IL6,hgnc:mesh:D014028,RNMT,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.29127228,0.0406118158928204
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,COPS3,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.3703782,0.040673231261148
SMAD3,hgnc:uniprot:Q64897,AR,DCAF6,Complex,Activation,DecreaseAmount,0.8775000000000001,0.923,0.79,2,3,1,0.37140244,0.0407664950331316
SMAD3,hgnc:uniprot:P41478,hgnc:uniprot:P04608,TKT,IncreaseAmount,Complex,IncreaseAmount,0.923,0.86,0.86,1,2,2,0.11200589,0.0416727039473765
SMAD3,PPARG,QPCT,HELZ,Inhibition,Complex,DecreaseAmount,0.941,0.99922663202,0.89,1,9,1,0.427699,0.0419100352294983
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,BHLHE40,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.89,2,2,1,0.2907017,0.0420383021477113
SMAD3,IL6,hgnc:mesh:D014028,RAB2A,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.14749606,0.0420892937068465
