source,bin_id,threshold,TP,FP,FN,size_A,size_B,TPR,FPR
HMGCR,8,0.001,14,4247,13,4261,27,0.5185185185185185,0.9967143862942971
HMGCR,9,0.0005,13,4248,8,4261,21,0.6190476190476191,0.9969490729875616
HMGCR,10,0.0001,7,4254,2,4261,9,0.7777777777777778,0.9983571931471485
SEC61A2,1,0.5,328,735,3019,1063,3347,0.09799820734986556,0.691439322671684
SEC61A2,2,0.2,96,967,816,1063,912,0.10526315789473684,0.909689557855127
SEC61A2,3,0.1,41,1022,337,1063,378,0.10846560846560846,0.9614299153339605
SEC61A2,4,0.05,18,1045,160,1063,178,0.10112359550561797,0.9830667920978363
SEC61A2,5,0.02,10,1053,60,1063,70,0.14285714285714285,0.9905926622765757
SEC61A2,6,0.01,5,1058,25,1063,30,0.16666666666666666,0.9952963311382879
SEC61A2,7,0.005,1,1062,9,1063,10,0.1,0.9990592662276576
SEC61A2,8,0.001,0,1063,3,1063,3,0.0,1.0
SEC61A2,9,0.0005,0,1063,2,1063,2,0.0,1.0
SEC61A2,10,0.0001,0,1063,1,1063,1,0.0,1.0
ROCK2,1,0.5,1098,3027,2101,4125,3199,0.3432322600812754,0.7338181818181818
ROCK2,2,0.2,320,3805,532,4125,852,0.3755868544600939,0.9224242424242424
ROCK2,3,0.1,127,3998,196,4125,323,0.3931888544891641,0.9692121212121212
ROCK2,4,0.05,51,4074,77,4125,128,0.3984375,0.9876363636363636
ROCK2,5,0.02,17,4108,28,4125,45,0.37777777777777777,0.9958787878787879
ROCK2,6,0.01,7,4118,6,4125,13,0.5384615384615384,0.9983030303030302
ROCK2,7,0.005,4,4121,2,4125,6,0.6666666666666666,0.999030303030303
ROCK2,8,0.001,1,4124,1,4125,2,0.5,0.9997575757575757
ROCK2,9,0.0005,1,4124,1,4125,2,0.5,0.9997575757575757
ROCK2,10,0.0001,0,4125,1,4125,1,0.0,1.0
LAG3,1,0.5,1090,2699,2129,3789,3219,0.338614476545511,0.7123251517550805
LAG3,2,0.2,292,3497,509,3789,801,0.3645443196004994,0.9229348112958564
LAG3,3,0.1,125,3664,184,3789,309,0.4045307443365696,0.9670097651095276
LAG3,4,0.05,57,3732,74,3789,131,0.4351145038167939,0.9849564528899446
LAG3,5,0.02,19,3770,22,3789,41,0.4634146341463415,0.9949854842966482
LAG3,6,0.01,10,3779,5,3789,15,0.6666666666666666,0.9973607812087623
LAG3,7,0.005,5,3784,3,3789,8,0.625,0.9986803906043811
LAG3,8,0.001,1,3788,0,3789,1,1.0,0.9997360781208762
LAG3,9,0.0005,0,3789,0,3789,0,0.0,1.0
LAG3,10,0.0001,0,3789,0,3789,0,0.0,1.0
TMED10,1,0.5,676,1636,2723,2312,3399,0.19888202412474257,0.7076124567474048
TMED10,2,0.2,194,2118,698,2312,892,0.21748878923766815,0.9160899653979239
TMED10,3,0.1,88,2224,300,2312,388,0.2268041237113402,0.9619377162629758
TMED10,4,0.05,44,2268,120,2312,164,0.2682926829268293,0.9809688581314879
TMED10,5,0.02,16,2296,44,2312,60,0.26666666666666666,0.9930795847750865
TMED10,6,0.01,11,2301,14,2312,25,0.44,0.995242214532872
TMED10,7,0.005,6,2306,5,2312,11,0.5454545454545454,0.9974048442906575
