source,target,stmt_type,statement_text,belief,evidence_count,logfoldchange,pval
PVR,PVR,IncreaseAmount,PVR increases the amount of PVR,0.949271,5,-0.97101885,0.0011755252986277
PVR,PVR,DecreaseAmount,PVR decreases the amount of PVR,0.97305,3,-0.97101885,0.0011755252986277
PVR,PVR,IncreaseAmount,PVR (modified) increases the amount of PVR,0.65,1,-0.97101885,0.0011755252986277
TIMM9,TIMM9,DecreaseAmount,TIMM9 decreases the amount of TIMM9,0.65,1,-0.97201425,0.0087734557715464
OMA1,CYCS,IncreaseAmount,OMA1 increases the amount of CYCS,0.65,1,0.34774268,0.0113870133673438
TSLP,TIMP1,DecreaseAmount,TSLP decreases the amount of TIMP1,0.65,1,-0.3117764,0.004187532041935
ARNT,PKN1,DecreaseAmount,ARNT decreases the amount of PKN1,0.79,1,0.52537405,0.0038530252802185
ARNT,PKM,IncreaseAmount,ARNT increases the amount of PKM,0.95,2,0.19717833,0.0137899912667776
ARNT,GYG1,DecreaseAmount,ARNT decreases the amount of GYG1,0.79,1,-0.7638555,0.0417098429050816
ARNT,NAMPT,IncreaseAmount,ARNT increases the amount of NAMPT,0.65,1,-0.358184,0.0328819425490891
ARNT,MTUS1,DecreaseAmount,ARNT decreases the amount of MTUS1,0.79,1,0.33070013,0.0157162961038467
ARNT,CCN1,DecreaseAmount,ARNT decreases the amount of CCN1,0.65,1,0.35846192,0.0057811704470708
ARNT,TUG1,DecreaseAmount,ARNT decreases the amount of TUG1,0.79,1,-0.67258435,0.0279895497440488
ARNT,CTNNB1,DecreaseAmount,ARNT decreases the amount of CTNNB1,0.65,1,-0.51026624,0.022794949285494
ARNT,REEP3,DecreaseAmount,ARNT decreases the amount of REEP3,0.79,1,-0.3673012,0.0388924240662249
ARNT,ANKRD17,DecreaseAmount,ARNT decreases the amount of ANKRD17,0.79,1,0.44186068,0.0373491491183218
ARNT,AFF4,DecreaseAmount,ARNT decreases the amount of AFF4,0.79,1,-0.5896526,0.0277054098668038
ARNT,UBR5,DecreaseAmount,ARNT decreases the amount of UBR5,0.95,2,-0.5193399,0.036927946266608
ARNT,PHF20,DecreaseAmount,ARNT decreases the amount of PHF20,0.79,1,-0.4220865,0.0466969317783264
KDM6B,NOTCH1,DecreaseAmount,KDM6B decreases the amount of NOTCH1,0.86,2,-1.1600019,0.0455279917233684
KDM6B,NOTCH1,IncreaseAmount,KDM6B increases the amount of NOTCH1,0.94757,5,-1.1600019,0.0455279917233684
KDM6B,ZEB1,IncreaseAmount,KDM6B increases the amount of ZEB1,0.86,2,-0.4532662,0.0090073483394078
CARD8,CARD8,DecreaseAmount,CARD8 decreases the amount of CARD8,0.65,1,-1.3586792,5.3406723328867654e-14
CARD8,CARD8,DecreaseAmount,CARD8 decreases the amount of CARD8,0.9419,3,-1.3586792,5.3406723328867654e-14
GSTO1,GSTO1,DecreaseAmount,GSTO1 (modified) decreases the amount of GSTO1,0.65,1,-1.3328321,1.144457017838854e-15
CX3CL1,CCL2,DecreaseAmount,CX3CL1 decreases the amount of CCL2,0.65,1,0.46314287,0.0386723206574888
CX3CL1,CCL2,IncreaseAmount,CX3CL1 increases the amount of CCL2,0.65,1,0.46314287,0.0386723206574888
RAB5B,RAB5B,DecreaseAmount,RAB5B decreases the amount of RAB5B,0.65,1,-1.444975,0.0001387606862093
PA2G4,SERPINE1,IncreaseAmount,PA2G4 increases the amount of SERPINE1,0.65,1,0.20755504,0.0296735299497222
PA2G4,PA2G4,IncreaseAmount,PA2G4 increases the amount of PA2G4,0.65,1,-1.1625093,1.7351897347212362e-16
PA2G4,PA2G4,DecreaseAmount,PA2G4 decreases the amount of PA2G4,0.951,3,-1.1625093,1.7351897347212362e-16
TRIP12,TRIP12,DecreaseAmount,TRIP12 decreases the amount of TRIP12,0.65,1,-0.95385534,2.4352431180266665e-05
ECE1,ECE1,IncreaseAmount,ECE1 increases the amount of ECE1,0.65,1,-0.55918795,3.651979493845118e-07
ECE1,ECE1,DecreaseAmount,ECE1 decreases the amount of ECE1,0.97305,4,-0.55918795,3.651979493845118e-07
CDKN2B,MKI67,IncreaseAmount,CDKN2B increases the amount of MKI67,0.65,1,1.1266316,0.0452689960890133
CDKN2B,CDK4,DecreaseAmount,CDKN2B decreases the amount of CDK4,0.9419,4,-0.43708497,0.0328474570943157
CDKN2B,CCNB1,DecreaseAmount,CDKN2B decreases the amount of CCNB1,0.65,1,0.9695503,0.0340396220833305
APH1A,APH1A,IncreaseAmount,APH1A increases the amount of APH1A,0.86,1,-0.89065033,0.0036717237716843
APH1A,APH1A,IncreaseAmount,APH1A (phosphorylated) increases the amount of APH1A,0.65,1,-0.89065033,0.0036717237716843
CTNND1,APP,DecreaseAmount,CTNND1 decreases the amount of APP,0.86,2,0.14261414,0.0473960186021968
CTNND1,CTNND1,DecreaseAmount,CTNND1 (modified) decreases the amount of CTNND1,0.65,1,-1.2984887,2.5499281495596465e-08
CTNND1,CTNND1,IncreaseAmount,CTNND1 increases the amount of CTNND1,0.8775000000000001,2,-1.2984887,2.5499281495596465e-08
CTNND1,CTNND1,DecreaseAmount,CTNND1 decreases the amount of CTNND1,0.9497812999999999,6,-1.2984887,2.5499281495596465e-08
EGR1,ATP2B4,IncreaseAmount,EGR1 (modified) increases the amount of ATP2B4,0.65,1,0.533723,0.0223068929047652
EGR1,ATP2B4,IncreaseAmount,EGR1 increases the amount of ATP2B4,0.9419,3,0.533723,0.0223068929047652
EGR1,RHOA,IncreaseAmount,EGR1 increases the amount of RHOA,0.65,1,0.1582486,0.0170681821417484
EGR1,RHOA,DecreaseAmount,EGR1 decreases the amount of RHOA,0.79,1,0.1582486,0.0170681821417484
EGR1,JUN,DecreaseAmount,EGR1 decreases the amount of JUN,0.65,1,0.35771897,0.0178112588216214
EGR1,JUN,IncreaseAmount,EGR1 increases the amount of JUN,0.86,2,0.35771897,0.0178112588216214
EGR1,ATG12,DecreaseAmount,EGR1 decreases the amount of ATG12,0.95,2,-0.40771136,0.041334431789558
EGR1,ID1,IncreaseAmount,EGR1 (modified) increases the amount of ID1,0.65,1,-0.43312305,0.0470710790804438
EGR1,ID1,IncreaseAmount,EGR1 increases the amount of ID1,0.9804,3,-0.43312305,0.0470710790804438
EGR1,AKAP12,DecreaseAmount,EGR1 decreases the amount of AKAP12,0.79,1,-0.51716936,0.0401641457636242
EGR1,ADAM17,IncreaseAmount,EGR1 increases the amount of ADAM17,0.65,1,-0.7531247,0.0245179669818565
EGR1,SLC25A23,DecreaseAmount,EGR1 decreases the amount of SLC25A23,0.79,1,-0.61746466,0.0365686376788917
EGR1,DYNC1LI1,DecreaseAmount,EGR1 decreases the amount of DYNC1LI1,0.79,1,-0.5099114,0.0143924298896746
EGR1,UBTF,DecreaseAmount,EGR1 decreases the amount of UBTF,0.95,2,0.4953649,0.0334421240483134
EGR1,TGFB1I1,DecreaseAmount,EGR1 decreases the amount of TGFB1I1,0.79,1,-0.38498792,0.0177341574634939
EGR1,DDX5,DecreaseAmount,EGR1 decreases the amount of DDX5,0.79,1,0.15179919,0.0478343929268305
OS9,OS9,IncreaseAmount,OS9 increases the amount of OS9,0.65,1,-1.4364281,6.168336736023085e-08
RAB1A,VIM,IncreaseAmount,RAB1A increases the amount of VIM,0.86,2,0.05449917,0.027319367628603
RAB1A,VIM,DecreaseAmount,RAB1A decreases the amount of VIM,0.86,2,0.05449917,0.027319367628603
RAB1A,RAB1A,DecreaseAmount,RAB1A decreases the amount of RAB1A,0.65,1,-0.3538751,0.0395868207786892
RAB1A,RAB1A,IncreaseAmount,RAB1A increases the amount of RAB1A,0.86,1,-0.3538751,0.0395868207786892
RAB1A,RAB1A,IncreaseAmount,RAB1A increases the amount of RAB1A,0.65,1,-0.3538751,0.0395868207786892
TLR4,NR2F6,DecreaseAmount,TLR4 decreases the amount of NR2F6,0.65,1,-0.6609215,0.0158753967379767
TLR4,FN1,IncreaseAmount,TLR4 increases the amount of FN1,0.951,3,0.24844936,0.0433439433849183
TLR4,FBXW7,IncreaseAmount,TLR4 increases the amount of FBXW7,0.65,1,0.51190275,0.0384441653111862
TLR4,TLR4,IncreaseAmount,TLR4 (methylation) increases the amount of TLR4,0.65,1,-1.5211028,0.0465322722755499
TLR4,TLR4,IncreaseAmount,TLR4 (modified) increases the amount of TLR4,0.949980317,8,-1.5211028,0.0465322722755499
TLR4,TLR4,DecreaseAmount,TLR4 (modified) decreases the amount of TLR4,0.94993439,8,-1.5211028,0.0465322722755499
TLR4,TLR4,IncreaseAmount,TLR4 increases the amount of TLR4,0.9975,136,-1.5211028,0.0465322722755499
TLR4,TLR4,DecreaseAmount,TLR4 decreases the amount of TLR4,0.997499704755,91,-1.5211028,0.0465322722755499
ACTG1,ACTB,DecreaseAmount,ACTG1 decreases the amount of ACTB,0.65,1,0.2200847,5.94083934078941e-07
ACTG1,WASF2,DecreaseAmount,ACTG1 decreases the amount of WASF2,0.65,1,-0.3950445,0.0281773232110623
ACTG1,ACTG1,DecreaseAmount,ACTG1 decreases the amount of ACTG1,0.65,1,-0.88436794,5.830757288089877e-20
NOS3,EDN1,IncreaseAmount,NOS3 (modified) increases the amount of EDN1,0.65,1,-0.59793997,0.043104663743886
NOS3,EDN1,DecreaseAmount,NOS3 decreases the amount of EDN1,0.86,2,-0.59793997,0.043104663743886
NOS3,EDN1,IncreaseAmount,NOS3 increases the amount of EDN1,0.9816495,5,-0.59793997,0.043104663743886
NOS3,APPL1,IncreaseAmount,NOS3 (modified) increases the amount of APPL1,0.65,1,0.3595708,0.0298519262401432
NOS3,TGM2,IncreaseAmount,NOS3 increases the amount of TGM2,0.65,1,-0.117787674,0.02468464563638
NOS3,NOS3,DecreaseAmount,NOS3 (methylation) decreases the amount of NOS3,0.65,1,-1.1164256,0.0115696030498703
NOS3,NOS3,DecreaseAmount,NOS3 decreases the amount of NOS3,0.65,1,-1.1164256,0.0115696030498703
NOS3,NOS3,IncreaseAmount,NOS3 (phosphorylated) increases the amount of NOS3,0.86,1,-1.1164256,0.0115696030498703
NOS3,NOS3,IncreaseAmount,NOS3 (phosphorylated on S1179) increases the amount of NOS3,0.65,1,-1.1164256,0.0115696030498703
NOS3,NOS3,IncreaseAmount,NOS3 (modified) increases the amount of NOS3,0.94993439,4,-1.1164256,0.0115696030498703
NOS3,NOS3,DecreaseAmount,NOS3 (modified) decreases the amount of NOS3,0.9419,3,-1.1164256,0.0115696030498703
NOS3,NOS3,IncreaseAmount,NOS3 (methylation) increases the amount of NOS3,0.86,2,-1.1164256,0.0115696030498703
NOS3,NOS3,IncreaseAmount,NOS3 increases the amount of NOS3,0.997499999999953,66,-1.1164256,0.0115696030498703
