source,intermediate_1,intermediate_2,intermediate_3,target,stmt_type_1,stmt_type_2,stmt_type_3,stmt_type_4,belief_1,belief_2,belief_3,belief_4,evidence_1,evidence_2,evidence_3,evidence_4,logfoldchange,pval
FLI1,REST,RFC1,NR3C1,ATP6V1A,Complex,Complex,Complex,IncreaseAmount,0.4261616001712757,0.8302066725941236,0.8302066725941236,0.48445268803510766,1,1,1,1,-1.5693107,5.1221236603355726e-05
FLI1,REST,RELA,KLF4,LXN,Complex,Complex,Complex,DecreaseAmount,0.4261616001712757,0.8302066725941236,0.4261616001712757,0.5355752228183895,1,1,1,1,-0.65657574,6.241095077992677e-05
FLI1,REST,RFC1,CDK2,TBCA,Complex,Complex,Complex,IncreaseAmount,0.4261616001712757,0.8302066725941236,0.8014533558209812,0.6163664161553967,1,1,2,1,0.32354835,0.0001394148784979
GABARAPL2,CEBPA,PHGDH,OGDH,COX7A2L,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.8302066725941236,0.4443350122709595,0.48445268803510766,1,1,1,1,-0.56487966,0.0002008015618275
GPR162,BCAM,EP300,GAPDH,OST4,Activation,IncreaseAmount,Acetylation,DecreaseAmount,0.37152225732969113,0.48445268803510766,0.46857240449751425,0.6324007949925685,1,1,1,1,-0.30639458,5.182036398349253e-05
GRB14,TRIM27,RET,USP9X,RPS27A,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.4117976602725213,0.4073065404350923,0.5580645765199765,1,30,4,1,-0.1334641,1.549316317684321e-05
GPSM3,PHF1,RBBP7,LGALS1,LGALS8,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.8226256011114469,0.8302066725941236,0.48445268803510766,1,7,1,1,-1.6624054,0.0394719554941204
GPSM3,PHF1,RBX1,MTA2,LRBA,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8329154561839106,0.8302066725941236,0.47385749870081684,1,2,1,1,-1.605459,0.0228558579918925
GPSM3,PHF1,PRNP,LEF1,KLHDC10,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.4261616001712757,0.6301266297471854,1,1,1,1,-1.6014093,0.0257036788652483
GPSM3,PHF1,RBX1,ELK1,C1orf50,Complex,Complex,Ubiquitination,DecreaseAmount,0.8302066725941236,0.8329154561839106,0.5947172532880094,0.6301266297471854,1,2,1,1,-1.2706735,0.0318129338043283
GPSM3,PHF1,RBX1,MTOR,PWP1,Complex,Complex,Dephosphorylation,IncreaseAmount,0.8302066725941236,0.8329154561839106,0.49321294888178935,0.48445268803510766,1,2,1,1,-0.8914811,0.0003188099582863
GPSM3,PHF1,RBBP7,ZNF219,HMGN1,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.8226256011114469,0.8216256011114469,0.48445268803510766,1,7,3,1,-0.35017675,0.0004049415654958
HHAT,STAT3,BCL3,ERBB2,RNF126,Phosphorylation,Inhibition,Activation,IncreaseAmount,0.565177305878659,0.43574026209367445,0.37152225732969113,0.5028536023408147,1,1,1,3,-1.3393217,0.0232693024223771
ABCA5,RAB7A,LRPPRC,MIR205,ABCA5,Inhibition,Complex,Complex,DecreaseAmount,0.414159988237093,0.8302066725941236,0.8302066725941236,0.6324007949925685,1,1,1,1,-2.8637323,0.039374999776927
INPP5B,RAC1,CDH1,CASP3,GLRX3,Activation,Complex,DecreaseAmount,DecreaseAmount,0.37152225732969113,0.6709342592493139,0.47385749870081684,0.6324007949925685,1,10,1,1,-1.150142,0.0001810082481065
KALRN,BCL2,RELA,NFATC1,TMEM64,IncreaseAmount,Inhibition,IncreaseAmount,IncreaseAmount,0.48445268803510766,0.43574026209367445,0.48445268803510766,0.48445268803510766,1,1,1,1,-1.4239678,0.0390531225596013
KDELR2,RET,CD74,ELANE,KDELR2,Complex,Complex,Complex,IncreaseAmount,0.4261616001712757,0.422856899694916,0.4244737435129522,0.47153156304100474,1,3,2,2,-1.186291,1.141276465077406e-12
LAPTM4A,PRTN3,REN,SP1,LAPTM4A,Complex,Activation,Complex,DecreaseAmount,0.4443350122709595,0.396856880714167,0.4443350122709595,0.6301266297471854,1,1,1,1,-0.9113737,3.752813800137277e-08
LSP1,BCL3,RELB,LEP,CLN5,Complex,Complex,Activation,IncreaseAmount,0.4261616001712757,0.4261616001712757,0.37152225732969113,0.48445268803510766,1,1,1,1,-1.2464106,0.0253701580863701
MANEA,RET,CD74,IFNG,CAP1,Complex,Complex,Activation,DecreaseAmount,0.8302066725941236,0.422856899694916,0.37152225732969113,0.4684848027297138,1,3,1,2,-0.49272284,0.0001135951980998
MAP3K6,PEX5,RAD51B,PAX2,TMEM53,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.4261616001712757,0.4261616001712757,0.6301266297471854,1,1,1,1,1.3743119,0.0345855808806136
MFSD4B,PRKAG1,RAC1,SPI1,RUFY1,Complex,Complex,Activation,DecreaseAmount,0.8216256011114469,0.8302066725941236,0.37152225732969113,0.6301266297471854,3,1,1,1,-1.5021538,0.0263568232525135
MGA,RBBP5,BAZ2B,CEBPA,CMSS1,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.8302066725941236,0.6301266297471854,1,1,1,1,-0.80168575,0.0001421082374839
