perturbation,total_targets,explained_1hop,explained_2hop,explained_3hop,explained_1hop_excl,explained_2hop_excl,explained_3hop_excl,total_explained,coverage_1hop,coverage_2hop,coverage_3hop,coverage_total,unexplained
DMXL1,172,0,13,143,0,13,131,144,0.0,7.55813953488372,83.13953488372093,83.72093023255815,28
DNALI1,126,0,44,125,0,44,81,125,0.0,34.92063492063492,99.20634920634922,99.20634920634922,1
DNMT3A,129,1,125,127,1,124,2,127,0.7751937984496124,96.89922480620154,98.44961240310077,98.44961240310077,2
DOCK9,155,0,58,153,0,58,95,153,0.0,37.41935483870968,98.70967741935483,98.70967741935483,2
DTYMK,201,0,164,200,0,164,36,200,0.0,81.59203980099502,99.50248756218906,99.50248756218906,1
DYNC2LI1,127,0,9,120,0,9,111,120,0.0,7.086614173228346,94.48818897637796,94.48818897637796,7
ECE1,142,1,126,142,1,125,16,142,0.7042253521126761,88.73239436619718,100.0,100.0,0
ECM1,130,2,61,128,2,59,67,128,1.5384615384615385,46.92307692307692,98.46153846153847,98.46153846153847,2
EDEM2,154,1,51,152,1,50,101,152,0.6493506493506493,33.116883116883116,98.7012987012987,98.7012987012987,2
EGR1,118,12,117,118,12,105,1,118,10.16949152542373,99.15254237288136,100.0,100.0,0
EHMT2,193,1,169,191,1,168,22,191,0.5181347150259068,87.56476683937824,98.96373056994818,98.96373056994818,2
EMP2,162,0,77,162,0,77,85,162,0.0,47.53086419753087,100.0,100.0,0
ENSA,166,1,49,166,1,48,117,166,0.6024096385542169,29.518072289156628,100.0,100.0,0
EVL,144,1,113,142,1,112,29,142,0.6944444444444444,78.47222222222221,98.61111111111111,98.61111111111111,2
EZR,164,3,131,162,3,128,31,162,1.8292682926829267,79.8780487804878,98.78048780487805,98.78048780487805,2
FAIM,124,0,46,124,0,46,78,124,0.0,37.096774193548384,100.0,100.0,0
FAM126A,138,4,129,138,4,125,9,138,2.898550724637681,93.47826086956522,100.0,100.0,0
FGD6,150,0,25,147,0,25,122,147,0.0,16.666666666666664,98.0,98.0,3
FLI1,195,7,175,193,7,168,18,193,3.5897435897435894,89.74358974358975,98.97435897435898,98.97435897435898,2
FLII,149,1,109,146,1,108,37,146,0.6711409395973155,73.15436241610739,97.98657718120806,97.98657718120806,3
FYCO1,148,0,38,145,0,38,107,145,0.0,25.675675675675674,97.97297297297297,97.97297297297297,3
FYN,153,1,137,152,1,136,15,152,0.6535947712418301,89.54248366013073,99.34640522875817,99.34640522875817,1
FZD6,144,1,70,140,1,70,70,141,0.6944444444444444,48.61111111111111,97.22222222222221,97.91666666666666,3
GABARAPL2,138,0,75,136,0,75,61,136,0.0,54.347826086956516,98.55072463768117,98.55072463768117,2
GCOM1,163,0,6,148,0,6,142,148,0.0,3.6809815950920246,90.79754601226993,90.79754601226993,15
GLI2,131,0,113,129,0,113,16,129,0.0,86.25954198473282,98.47328244274809,98.47328244274809,2
GNAS,216,2,203,214,2,201,11,214,0.9259259259259258,93.98148148148148,99.07407407407408,99.07407407407408,2
GPR162,155,0,16,150,0,16,134,150,0.0,10.32258064516129,96.7741935483871,96.7741935483871,5
GPSM3,159,0,30,0,0,30,0,30,0.0,18.867924528301888,0.0,18.867924528301888,129
GRB14,130,0,57,129,0,57,72,129,0.0,43.84615384615385,99.23076923076923,99.23076923076923,1
GSS,125,2,108,125,2,106,17,125,1.6,86.4,100.0,100.0,0
GSTM2,144,0,77,144,0,77,67,144,0.0,53.47222222222222,100.0,100.0,0
GSTM4,154,0,79,154,0,79,75,154,0.0,51.298701298701296,100.0,100.0,0
GSTO1,172,1,119,171,1,118,52,171,0.5813953488372093,69.18604651162791,99.4186046511628,99.4186046511628,1
GSTO2,161,0,57,161,0,57,104,161,0.0,35.40372670807454,100.0,100.0,0
GTF3A,257,9,201,254,9,194,52,255,3.501945525291829,78.21011673151752,98.83268482490273,99.22178988326849,2
HAPLN3,169,0,19,167,0,19,148,167,0.0,11.242603550295858,98.81656804733728,98.81656804733728,2
HEATR5B,182,0,4,174,0,4,170,174,0.0,2.197802197802198,95.6043956043956,95.6043956043956,8
HECW1,112,0,38,112,0,38,74,112,0.0,33.92857142857143,100.0,100.0,0
HHAT,147,0,83,147,0,83,64,147,0.0,56.4625850340136,100.0,100.0,0
HIF1A,147,13,147,147,13,134,0,147,8.843537414965986,100.0,100.0,100.0,0
HINT3,162,0,8,154,0,8,146,154,0.0,4.938271604938271,95.06172839506173,95.06172839506173,8
HMGCR,311,2,306,311,2,304,5,311,0.6430868167202572,98.39228295819936,100.0,100.0,0
HSPA13,144,0,58,142,0,58,84,142,0.0,40.27777777777778,98.61111111111111,98.61111111111111,2
IBTK,138,1,54,137,1,53,83,137,0.7246376811594203,39.130434782608695,99.27536231884058,99.27536231884058,1
IFI27L2,166,0,7,158,0,7,151,158,0.0,4.216867469879518,95.18072289156626,95.18072289156626,8
IFI30,199,0,97,198,0,97,101,198,0.0,48.743718592964825,99.49748743718592,99.49748743718592,1
IFIT1,150,0,130,150,0,130,20,150,0.0,86.66666666666667,100.0,100.0,0
IGFBP2,139,1,132,139,1,131,7,139,0.7194244604316548,94.96402877697841,100.0,100.0,0
INPP5B,160,0,48,159,0,48,111,159,0.0,30.0,99.375,99.375,1
INPP5D,151,0,133,149,0,133,16,149,0.0,88.0794701986755,98.67549668874173,98.67549668874173,2
IQGAP1,224,2,192,224,2,190,32,224,0.8928571428571428,85.71428571428571,100.0,100.0,0
