perturbation,total_descendants,explained_count,not_explained_count,coverage,explained_descendants
REPIN1,165,0,165,0.0,
NUFIP2,244,0,244,0.0,
DKK1,140,0,140,0.0,
NUDT1,158,0,158,0.0,
ZSCAN29,131,0,131,0.0,
FYN,153,2,151,0.013071895424836602,"DPYSL2,CTNND1"
TNFRSF14,147,0,147,0.0,
RAB13,147,0,147,0.0,
NDUFAF1,154,0,154,0.0,
PAK2,165,1,164,0.006060606060606061,MYL9
IFI27L2,166,0,166,0.0,
ST3GAL4,156,0,156,0.0,
NOTCH4,127,0,127,0.0,
SOCS5,150,0,150,0.0,
CYTH3,134,0,134,0.0,
NCOA5,226,0,226,0.0,
OASL,114,0,114,0.0,
MRPL3,165,0,165,0.0,
TMEM184C,150,0,150,0.0,
SVIL,154,0,154,0.0,
IBTK,138,0,138,0.0,
CYP2J2,148,0,148,0.0,
P4HA2,134,0,134,0.0,
GSS,125,0,125,0.0,
ZNF774,164,0,164,0.0,
FAM126A,138,0,138,0.0,
DDX60L,130,0,130,0.0,
ABCG4,152,0,152,0.0,
HHAT,147,0,147,0.0,
CHUK,228,2,226,0.008771929824561403,"MTOR,TAX1BP1"
RNF146,159,0,159,0.0,
ZNF827,204,0,204,0.0,
SCARB1,156,0,156,0.0,
MMP11,115,0,115,0.0,
KIF3A,162,0,162,0.0,
TRIM68,176,0,176,0.0,
UBE2D1,164,0,164,0.0,
SIX2,172,0,172,0.0,
HECW1,112,0,112,0.0,
RWDD2B,142,0,142,0.0,
MOCS2,152,0,152,0.0,
SLC46A3,137,0,137,0.0,
AGAP3,148,0,148,0.0,
USP25,132,0,132,0.0,
DMXL1,172,0,172,0.0,
YES1,155,0,155,0.0,
VPS45,155,0,155,0.0,
PLTP,135,0,135,0.0,
IFIT1,150,0,150,0.0,
AP1G1,152,0,152,0.0,
TNFSF10,159,0,159,0.0,
POLR2M,140,0,140,0.0,
CCRL2,172,0,172,0.0,
AAGAB,210,0,210,0.0,
TMEM123,126,0,126,0.0,
OPTN,154,0,154,0.0,
RAPGEF3,157,0,157,0.0,
PRKD1,128,2,126,0.015625,"DYNLL1,CFL1"
POLG2,210,0,210,0.0,
KALRN,166,0,166,0.0,
ABHD16A,179,0,179,0.0,
MAST3,159,0,159,0.0,
PMVK,133,0,133,0.0,
LIPG,152,0,152,0.0,
DCUN1D5,152,0,152,0.0,
NT5C3B,142,0,142,0.0,
YLPM1,395,0,395,0.0,
AGTRAP,149,0,149,0.0,
ACOT8,147,0,147,0.0,
ZNRF1,129,0,129,0.0,
IRF1,157,0,157,0.0,
COG2,149,0,149,0.0,
CCL2,130,0,130,0.0,
TMEM9,177,0,177,0.0,
TSFM,143,0,143,0.0,
CREB1,133,0,133,0.0,
LTB,130,0,130,0.0,
CD40,140,0,140,0.0,
QPCT,120,0,120,0.0,
BOLA1,148,0,148,0.0,
DAP,145,0,145,0.0,
GCOM1,163,0,163,0.0,
BLOC1S3,130,0,130,0.0,
MTPAP,227,0,227,0.0,
GABARAPL2,138,0,138,0.0,
KPNA2,192,0,192,0.0,
TMEM167B,170,0,170,0.0,
AGPAT4,157,0,157,0.0,
DGCR6L,134,0,134,0.0,
TRIM47,159,0,159,0.0,
DHCR24,151,1,150,0.006622516556291391,DHCR7
ZNF235,138,0,138,0.0,
PMAIP1,113,0,113,0.0,
ABHD2,123,0,123,0.0,
NRP1,131,0,131,0.0,
ALKBH3,126,0,126,0.0,
MT1E,133,0,133,0.0,
MLEC,182,0,182,0.0,
PPP3CC,158,0,158,0.0,
ZSWIM3,253,0,253,0.0,
CDCA2,145,0,145,0.0,
FLI1,195,0,195,0.0,
SMARCB1,209,0,209,0.0,
EMP2,162,0,162,0.0,
CUL9,138,0,138,0.0,
SMIM13,126,0,126,0.0,
TYRO3,175,0,175,0.0,
UIMC1,155,0,155,0.0,
INPP5B,160,0,160,0.0,
VWF,121,0,121,0.0,
FZD6,144,0,144,0.0,
IRF3,142,0,142,0.0,
DHTKD1,228,0,228,0.0,
UHRF1BP1,164,0,164,0.0,
MFSD4B,156,0,156,0.0,
GSTM4,154,0,154,0.0,
SLC22A4,144,0,144,0.0,
UGGT1,170,0,170,0.0,
SMARCAD1,182,0,182,0.0,
ALS2CL,128,0,128,0.0,
NDUFA8,173,0,173,0.0,
RSPO3,121,0,121,0.0,
AGER,162,0,162,0.0,
CNPY3,175,0,175,0.0,
SMARCD2,188,0,188,0.0,
ZNF296,130,0,130,0.0,
SBF2,169,0,169,0.0,
ACSS2,138,0,138,0.0,
IST1,174,0,174,0.0,
STAT5A,171,0,171,0.0,
NUDT18,159,0,159,0.0,
PARP12,179,0,179,0.0,
FGD6,150,0,150,0.0,
TRAPPC6A,147,0,147,0.0,
