source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pval
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL14,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.11121502,0.0004827630576001
PVT1,YAP1,hgnc:mesh:D000952,RPL23,Complex,Complex,DecreaseAmount,0.9419,0.9419,0.89,4,4,1,0.10519842,0.0004870905381299
PVT1,UPF1,E4F1,RPL18,Complex,Complex,DecreaseAmount,0.86,0.98,0.79,2,1,1,0.11042458,0.0005272159673113
PVT1,SERPINE1,PPARA,SUPT16H,Activation,Complex,DecreaseAmount,0.8775000000000001,0.99596289,0.79,2,8,1,0.4926186,0.0005594490552035
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:mesh:D009369,C1QBP,Complex,Activation,IncreaseAmount,0.94757,0.86,0.951,5,1,1,0.291561,0.0005619006858034
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPS29,Complex,Complex,IncreaseAmount,0.9419,0.923,0.89,4,3,1,0.14152315,0.0006532232235013
PVT1,MYC,RPL22,RPL22L1,Inhibition,DecreaseAmount,DecreaseAmount,0.98922,0.95,0.9499998405677,5,2,12,0.2149232,0.000678392649613
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,LDHB,Complex,Complex,IncreaseAmount,0.9419,0.923,0.98,4,3,2,0.20259677,0.0006970446734445
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL35,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.09672228,0.0007318506114736
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPLP2,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.09333037,0.0007365763896166
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,UQCRH,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.21581483,0.0009170977663348
PVT1,MYC,GABPB1,RPS5,Inhibition,Complex,DecreaseAmount,0.98922,0.86,0.79,5,2,1,0.107152805,0.0009285390570708
PVT1,hgnc:mesh:D009369,PAX2,PPA1,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.29905143,0.0009385451850266
PVT1,NOTCH1,hgnc:uniprot:P27958,MT-CO1,Activation,Activation,IncreaseAmount,0.86,0.86,0.86,2,2,2,0.13742723,0.0013180336651573
PVT1,hgnc:mesh:D009369,POU2F1,RPLP0,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.10316573,0.0014292125265023
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL10A,Complex,Complex,IncreaseAmount,0.9419,0.923,0.89,4,3,1,0.10145507,0.0017398412994295
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,CCT3,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.27151448,0.0021002154276327
PVT1,hgnc:mesh:D009369,PAX2,ASCC3,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.38276133,0.0022007391219737
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPS21,Complex,Complex,IncreaseAmount,0.9419,0.923,0.98,4,3,1,0.09481991,0.0022225328761141
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,AHCY,Complex,Complex,DecreaseAmount,0.9419,0.923,0.989,4,3,1,0.45694098,0.0024442324248524
PVT1,NOTCH1,POU3F1,MRPS18B,Activation,Activation,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.52910817,0.0025990120405057
PVT1,hgnc:mesh:D009369,PAX3,FAM162A,Inhibition,DecreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.3507305,0.0032514669755502
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPS24,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.066675544,0.0033137336844737
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:mesh:D042783,HSPD1,Complex,Complex,IncreaseAmount,0.94757,0.95,0.86,5,85,2,0.23232237,0.0033158365870242
PVT1,hgnc:uniprot:Q8L925,GATA2,RPL8,Complex,Complex,DecreaseAmount,0.923,0.86,0.79,3,2,1,0.076353446,0.0034339281196174
PVT1,YAP1,hgnc:uniprot:Q59723,PRKDC,Complex,Complex,DecreaseAmount,0.9419,0.8775000000000001,0.86,4,2,2,0.28423938,0.0035915847143876
PVT1,hgnc:uniprot:Q9ZPE7,IFNG,MT-CYB,Complex,Activation,IncreaseAmount,0.94757,0.86,0.86,5,2,2,0.1516014,0.0037165228770702
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,SNHG29,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.18002643,0.0041468753261791
PVT1,YAP1,hgnc:mesh:D000952,MKLN1,Complex,Complex,IncreaseAmount,0.9419,0.9419,0.89,4,4,1,0.5551012,0.0043628689036758
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:mesh:D009369,GAS5,Complex,Activation,IncreaseAmount,0.94757,0.86,0.9499998405677,5,1,2,0.13854882,0.005080774421396
PVT1,hgnc:mesh:D013274,PCBP1,SF1,Activation,Complex,DecreaseAmount,0.8775000000000001,0.923,0.79,2,3,1,0.40320814,0.0052565845586289
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,ATP5F1B,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.20834,0.0054920602575488
PVT1,hgnc:mesh:D013274,HNF4A,RPS3A,Activation,Complex,DecreaseAmount,0.8775000000000001,0.86,0.79,2,2,1,0.06824162,0.0055212151425826
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL37A,Complex,Complex,IncreaseAmount,0.9419,0.923,0.89,4,3,1,0.070703395,0.005824480828423
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,TUFM,Complex,Complex,IncreaseAmount,0.9419,0.923,0.89,4,3,1,0.2957477,0.0059715862919741
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPS15A,Complex,Complex,DecreaseAmount,0.9419,0.923,0.98,4,3,2,0.0761897,0.0070038739632423
PVT1,hgnc:mesh:D009369,hgnc:mesh:D012516,CYC1,Inhibition,Inhibition,IncreaseAmount,0.99916994,0.949999468559,0.86,1,4,2,0.29310057,0.0071085261825788
PVT1,hgnc:uniprot:Q9W4S7,AR,ATP5F1A,Complex,Complex,DecreaseAmount,0.86,0.923,0.79,2,3,1,0.24257793,0.0077285114244693
PVT1,hgnc:fplx:TGFB,hgnc:chebi:4903,NHP2,Activation,Activation,IncreaseAmount,0.979665,0.86,0.89,1,2,1,0.2262602,0.0082109694007144
