source,target,classification
KALRN,EPN2,explained_2hop_only
LIPG,TADA3,explained_2hop_only
HINT3,SQLE,explained_2hop_only
HSPA13,GSN,explained_2hop_only
ARPC2,ROCK1,explained_2hop_only
MOCS2,ACSL4,explained_2hop_only
CTNND1,CFL2,explained_2hop_only
RAB1A,ANTXR2,explained_2hop_only
DHCR24,CYTL1,explained_2hop_only
RAB3A,KPNA2,explained_2hop_only
EGR1,RPL35A,explained_2hop_only
SOX4,DNAJC15,explained_2hop_only
OPTN,BTBD1,explained_2hop_only
MAP3K6,PSENEN,explained_2hop_only
OMA1,NDUFA7,explained_2hop_only
MTPAP,PABPC1,explained_2hop_only
MAP3K6,MMP14,explained_2hop_only
TRPC4AP,CDK6,explained_2hop_only
NCOA5,RPL39,explained_2hop_only
POLG,SDF4,explained_2hop_only
PVT1,PLAT,explained_2hop_only
RAPGEF3,NFIC,explained_2hop_only
OPTN,MYL9,explained_2hop_only
KDELR2,COX7B,explained_2hop_only
CDKN2B,PTGES3,explained_2hop_only
PRKAR1A,ODF2L,explained_2hop_only
BAG6,IGF2BP3,explained_2hop_only
TRIB1,RAB11FIP1,explained_2hop_only
EDEM2,AC093673.1,explained_2hop_only
EHMT2,RPS18,explained_2hop_only
PRKD1,HOXB7,explained_2hop_only
COG2,PECAM1,explained_2hop_only
TRAF3IP2,RPL14,explained_2hop_only
PA2G4,DDX60L,explained_2hop_only
GSTM4,MT-ND4,explained_2hop_only
THBD,CCT7,explained_2hop_only
LIPG,ANAPC16,explained_2hop_only
PLPP3,TRIAP1,explained_2hop_only
SMARCAD1,GPX4,explained_2hop_only
GSTM4,ROCK1,explained_2hop_only
PA2G4,TXLNG,explained_2hop_only
NOS3,RNF141,explained_2hop_only
EMP2,NCK1,explained_2hop_only
POGZ,FERMT3,explained_2hop_only
CDCA2,PDCD10,explained_2hop_only
PRKD1,SERBP1,explained_2hop_only
PA2G4,BCLAF1,explained_2hop_only
NR2C1,ATP6AP2,explained_2hop_only
THBD,COX8A,explained_2hop_only
OASL,RB1,explained_2hop_only
TYRO3,FN1,explained_2hop_only
CLDN1,TMX3,explained_2hop_only
DHCR24,DHX40,explained_2hop_only
GNAS,TPI1,explained_2hop_only
PDCD6,GATAD1,explained_2hop_only
CSDE1,BRD4,explained_2hop_only
MNT,TPM3,explained_2hop_only
CEP41,E2F7,explained_2hop_only
CDKN2B,PGP,explained_2hop_only
PMAIP1,ARPC3,explained_2hop_only
NFKB2,SENP2,explained_2hop_only
NUDT18,EIF3E,explained_2hop_only
AGAP2,DNAJC4,explained_2hop_only
ABHD2,SERPINB9,explained_2hop_only
ROCK2,DNAJC19,explained_2hop_only
DYNC2LI1,TIMP1,explained_2hop_only
TTBK2,ACVRL1,explained_2hop_only
AGAP2,TBCB,explained_2hop_only
DNMT3A,DDX18,explained_2hop_only
MT1E,EFNB1,explained_2hop_only
ADAMTS7,KIF5B,explained_2hop_only
ROCK2,PFN2,explained_2hop_only
PHRF1,SELENOK,explained_2hop_only
THBD,TCN2,explained_2hop_only
EDEM2,ATP6V1H,explained_2hop_only
HIF1A,VPS35,explained_2hop_only
LMAN1,CAST,explained_2hop_only
GSS,CCNG1,explained_2hop_only
SIX2,NUDT16L1,explained_2hop_only
PDLIM2,FER,explained_2hop_only
SMAD3,TMEM14C,explained_2hop_only
NCOA5,P4HB,explained_2hop_only
GSTO1,PSMA5,explained_2hop_only
NRP1,SMNDC1,explained_2hop_only
NRP1,GATAD1,explained_2hop_only
SLC2A6,KRT10,explained_2hop_only
OMA1,GCLM,explained_2hop_only
FAM126A,MZT2B,explained_2hop_only
NCOA5,RPL19,explained_2hop_only
CDH13,PCNP,explained_2hop_only
STAT5A,SH3GLB1,explained_2hop_only
MALAT1,RPLP1,explained_2hop_only
ALKBH3,EIF5B,explained_2hop_only
MMP11,AVEN,explained_2hop_only
SMARCB1,SCARB1,explained_2hop_only
MOCS2,ID1,explained_2hop_only
CD40,EXOC6B,explained_2hop_only
CDKN2B,GLUL,explained_2hop_only
RAD50,SPOCK1,explained_2hop_only
DAP,TUBB3,explained_2hop_only
TSLP,RPS15,explained_2hop_only
PLXNB1,ATRX,explained_2hop_only
PVR,CHD2,explained_2hop_only
GLI2,PDCD6,explained_2hop_only
PDLIM7,PAFAH1B1,explained_2hop_only
VWF,AKR1B1,explained_2hop_only
DGKA,ANXA11,explained_2hop_only
PSMD5,TGFBR2,explained_2hop_only
NFKB2,PARL,explained_2hop_only
DOCK9,PRCP,explained_2hop_only
MRPL34,GRB2,explained_2hop_only
MTPAP,LGALS1,explained_2hop_only
DHCR24,BTG1,explained_2hop_only
NRP1,CD81,explained_2hop_only
RAPGEF3,MRTO4,explained_2hop_only
CDCA2,MYL6B,explained_2hop_only
RAPGEF3,CD99,explained_2hop_only
LAG3,HNRNPD,explained_2hop_only
RAP1GDS1,TRIM22,explained_2hop_only
MFSD4B,HNRNPK,explained_2hop_only
NR2C1,FNTA,explained_2hop_only
SMAD3,NAA35,explained_2hop_only
TBCEL,RDX,explained_2hop_only
DHCR24,HNRNPF,explained_2hop_only
MICALL2,IMPA1,explained_2hop_only
PSMD5,BSG,explained_2hop_only
EHMT2,IMPDH1,explained_2hop_only
DCUN1D5,PMAIP1,explained_2hop_only
GNAS,COMMD6,explained_2hop_only
KMT2D,POLR2J,explained_2hop_only
VWF,GALK1,explained_2hop_only
OMA1,RGS3,explained_2hop_only
KDM6B,RPS11,explained_2hop_only
CLIC1,SRSF5,explained_2hop_only
RNF146,HYAL2,explained_2hop_only
ACCS,LDHA,explained_2hop_only
P4HA2,BSG,explained_2hop_only
IGFBP2,ITPR3,explained_2hop_only
HMGCR,C11orf58,explained_2hop_only
PROX1,RAD21,explained_2hop_only
TMUB1,PXDN,explained_2hop_only
SMAD3,IDI1,explained_2hop_only
CDKN2B,MTUS1,explained_2hop_only
DET1,GSTO1,explained_2hop_only
KDELR2,SERPINB6,explained_2hop_only
VAMP8,BRD1,explained_2hop_only
AGER,FXR1,explained_2hop_only
LTB,DCBLD2,explained_2hop_only
ARHGAP26,PSMD12,explained_2hop_only
LIPG,TPM3,explained_2hop_only
LMAN1,CDC42,explained_2hop_only
KMT2D,PSMC1,explained_2hop_only
CDKN2B,PRKCSH,explained_2hop_only
SCARB1,NCBP2,explained_2hop_only
TLR4,FBLIM1,explained_2hop_only
RAPGEF3,MSMO1,explained_2hop_only
EDEM2,GOSR2,explained_2hop_only
S100A10,ABRACL,explained_2hop_only
LAG3,GPI,explained_2hop_only
ABHD2,SYNCRIP,explained_2hop_only
BAG6,CD55,explained_2hop_only
NOS3,TCF4,explained_2hop_only
MT1F,B4GALT5,explained_2hop_only
ACSS2,CASP4,explained_2hop_only
PLXNB1,MYO6,explained_2hop_only
AGAP2,GRINA,explained_2hop_only
TNFRSF1B,MTHFD2,explained_2hop_only
TMED10,SMARCA4,explained_2hop_only
SELE,GLS,explained_2hop_only
PLEKHA5,SUZ12,explained_2hop_only
ABHD16A,DDAH2,explained_2hop_only
TIMM9,PLIN3,explained_2hop_only
CYTH3,ETS2,explained_2hop_only
CCRL2,ECE1,explained_2hop_only
CDCA2,PPAT,explained_2hop_only
CYP2J2,UBXN4,explained_2hop_only
SMUG1,QKI,explained_2hop_only
VWF,COPRS,explained_2hop_only
KIF3A,VKORC1,explained_2hop_only
FLI1,CD93,explained_2hop_only
GABARAPL2,PML,explained_2hop_only
SMAD3,HP1BP3,explained_2hop_only
EGR1,SIRPA,explained_2hop_only
SMARCC1,UROS,explained_2hop_only
TRA2A,PTPA,explained_2hop_only
MIER3,UBE2S,explained_2hop_only
TMEM123,CLU,explained_2hop_only
PVR,MORN2,explained_2hop_only
REST,TTC3,explained_2hop_only
RAB1A,MAP1LC3B,explained_2hop_only
CDKN2B,CCDC47,explained_2hop_only
FAIM,USP48,explained_2hop_only
GTF3A,VIM,explained_2hop_only
P2RX7,SERPINB1,explained_2hop_only
AMT,RPL32,explained_2hop_only
CDH13,PDCD7,explained_2hop_only
GNAS,HSP90AB1,explained_2hop_only
PHF19,NRDC,explained_2hop_only
GSTO1,PALM2-AKAP2,explained_2hop_only
ADAMTS7,UBE3C,explained_2hop_only
TBCEL,HSPB1,explained_2hop_only
TMUB1,CKS2,explained_2hop_only
AGAP2,MDM4,explained_2hop_only
MNT,ATP5PB,explained_2hop_only
IST1,PLK2,explained_2hop_only
KALRN,CCN2,explained_2hop_only
CYP2J2,YWHAQ,explained_2hop_only
GSTO2,KTN1,explained_2hop_only
OASL,PLEKHO1,explained_2hop_only
NCOA5,TM4SF1,explained_2hop_only
NUB1,SHC1,explained_2hop_only
FAM126A,NDUFB1,explained_2hop_only
CHUK,TAX1BP1,explained_2hop_only
UGGT1,PDIA4,explained_2hop_only
THBD,BAX,explained_2hop_only
LPIN3,SCAF11,explained_2hop_only
ST3GAL4,TXNDC12,explained_2hop_only
GTF3A,TIMM10,explained_2hop_only
NOS3,CD320,explained_2hop_only
SMUG1,CD109,explained_2hop_only
COLGALT1,ZC3HAV1,explained_2hop_only
CX3CL1,CARD8,explained_2hop_only
ARNT,CSNK1A1,explained_2hop_only
RAD50,WDR83OS,explained_2hop_only
PRKD1,TCEAL8,explained_2hop_only
THADA,IER2,explained_2hop_only
CSDE1,PRDX3,explained_2hop_only
TNFRSF14,UFM1,explained_2hop_only
HHAT,LBR,explained_2hop_only
LAG3,RPL14,explained_2hop_only
TNFRSF1B,NPM3,explained_2hop_only
TNFSF10,NDUFA11,explained_2hop_only
UQCRC1,RACK1,explained_2hop_only
ABHD2,DDT,explained_2hop_only
INPP5B,MTIF3,explained_2hop_only
SMAD3,CNPY4,explained_2hop_only
PVT1,SPG7,explained_2hop_only
BAG6,NACA,explained_2hop_only
VAMP8,EIF3A,explained_2hop_only
CHUK,GNL3L,explained_2hop_only
PRPH2,LYN,explained_2hop_only
POLG,HDAC2,explained_2hop_only
AGER,AL355312.4,explained_2hop_only
TSLP,UQCRFS1,explained_2hop_only
MUS81,APP,explained_2hop_only
ARL4A,MPRIP,explained_2hop_only
LTB,AK3,explained_2hop_only
TRA2A,PDIA5,explained_2hop_only
VAMP8,HMGA1,explained_2hop_only
IRF3,FSCN1,explained_2hop_only
PDLIM2,ICAM1,explained_2hop_only
NFKB2,GYG1,explained_2hop_only
AP1G1,IGFBP6,explained_2hop_only
MUS81,PEPD,explained_2hop_only
AGPAT1,KRT10,explained_2hop_only
SMARCAD1,NME1,explained_2hop_only
TNFRSF14,TLN1,explained_2hop_only
GSTM2,SDF2L1,explained_2hop_only
COG2,VDAC1,explained_2hop_only
HIF1A,PCBD1,explained_2hop_only
EHMT2,RPS3,explained_2hop_only
KDELR2,DNAJA1,explained_2hop_only
ACAD11,EPHX1,explained_2hop_only
DTYMK,RPL10,explained_2hop_only
NCOA5,HSPA5,explained_2hop_only
REST,PXDN,explained_2hop_only
CHUK,TMSB10,explained_2hop_only
CLIC1,HAGH,explained_2hop_only
PA2G4,SNX3,explained_2hop_only
CD40,NMRK1,explained_2hop_only
PA2G4,BFAR,explained_2hop_only
CD40,KIF9,explained_2hop_only
SMARCD2,SKA2,explained_2hop_only
MNT,NEDD8,explained_2hop_only
HMGCR,BAG3,explained_2hop_only
PLPP3,RRM2B,explained_2hop_only
SELE,FLOT1,explained_2hop_only
PLEKHA5,CNPY2,explained_2hop_only
TNFSF10,POLD4,explained_2hop_only
OTUD7B,NUTF2,explained_2hop_only
OASL,MDH2,explained_2hop_only
NRP1,PABPN1,explained_2hop_only
TAOK1,MRPS24,explained_2hop_only
MALAT1,SMARCD1,explained_2hop_only
IST1,ROCK1,explained_2hop_only
MNT,DAP,explained_2hop_only
IRF3,FAM126A,explained_2hop_only
RAPGEF3,HDAC2,explained_2hop_only
PRKAR1A,HPCAL1,explained_2hop_only
ARNT,ACSS2,explained_2hop_only
DTYMK,BRD7,explained_2hop_only
TYRO3,TLE5,explained_2hop_only
CTNND1,GALK1,explained_2hop_only
AGAP3,CNBP,explained_2hop_only
RGS12,ALYREF,explained_2hop_only
FLI1,CPSF2,explained_2hop_only
LAG3,CASC4,explained_2hop_only
EHMT2,DUSP1,explained_2hop_only
RBFOX2,ACVRL1,explained_2hop_only
TRIP12,HHEX,explained_2hop_only
USP25,SCO1,explained_2hop_only
P2RX7,ST6GALNAC6,explained_2hop_only
AP1G1,PGD,explained_2hop_only
RASIP1,TOPORS,explained_2hop_only
MYEOV,IKBKB,explained_2hop_only
CUL9,PCM1,explained_2hop_only
SELE,PGD,explained_2hop_only
TRAF6,PROCR,explained_2hop_only
SOCS5,PSMD4,explained_2hop_only
GSTO2,PPP1CA,explained_2hop_only
GSTO1,GLIPR2,explained_2hop_only
CNPY3,RAB21,explained_2hop_only
PVT1,EEF1A1,explained_2hop_only
MYEOV,YWHAZ,explained_2hop_only
AGAP2,CSNK1D,explained_2hop_only
TBCEL,CCBE1,explained_2hop_only
NCEH1,CAB39,explained_2hop_only
OTUD7B,TOMM40,explained_2hop_only
ABHD16A,RNPS1,explained_2hop_only
VPS45,CCPG1,explained_2hop_only
MMP11,C17orf49,explained_2hop_only
BAG6,ANXA2,explained_2hop_only
UQCRC1,SQSTM1,explained_2hop_only
ACSS2,NTN4,explained_2hop_only
ARG2,CTNNAL1,explained_2hop_only
TRIM68,ADAM9,explained_2hop_only
ITGB4,EIF3I,explained_2hop_only
EZR,UFL1,explained_2hop_only
INPP5B,FADS3,explained_2hop_only
KDELR2,HERPUD1,explained_2hop_only
NUCB1,ETV5,explained_2hop_only
PHF19,COX6B1,explained_2hop_only
ABHD16A,ACSL4,explained_2hop_only
HHAT,LRRC8A,explained_2hop_only
REST,MRPS7,explained_2hop_only
REST,CKS2,explained_2hop_only
TYRO3,DNAJB11,explained_2hop_only
EMP2,BAG3,explained_2hop_only
GSTO1,SERPINE1,explained_2hop_only
SMARCD2,ARHGAP5,explained_2hop_only
PRPH2,POMP,explained_2hop_only
SEC61A2,VAMP2,explained_2hop_only
IFIT1,PDHB,explained_2hop_only
HMGCR,RPS23,explained_2hop_only
NOS3,EMD,explained_2hop_only
XPO7,NCOA4,explained_2hop_only
QRICH2,DHRS7,explained_2hop_only
MUS81,GSTK1,explained_2hop_only
MIER3,LGALS1,explained_2hop_only
PDP1,P3H3,explained_2hop_only
SLC22A4,ATP1B1,explained_2hop_only
CLIC1,PRPF8,explained_2hop_only
RGS12,ATP5PD,explained_2hop_only
IFI30,PIEZO1,explained_2hop_only
NOS3,CAVIN3,explained_2hop_only
GNAS,ACVRL1,explained_2hop_only
THBD,ENAH,explained_2hop_only
OPTN,RPL36AL,explained_2hop_only
SMARCD2,PSMB8,explained_2hop_only
PA2G4,PDCD2,explained_2hop_only
KIF3A,MLXIP,explained_2hop_only
GSS,SNX3,explained_2hop_only
IFI30,MCAM,explained_2hop_only
HMGCR,MSMO1,explained_2hop_only
SMUG1,USP8,explained_2hop_only
CYP2J2,CD93,explained_2hop_only
YLPM1,RAC1,explained_2hop_only
ITGB4,MCL1,explained_2hop_only
CX3CL1,PIGS,explained_2hop_only
CYTH3,DDX27,explained_2hop_only
HMGCR,IPO11,explained_2hop_only
NUDT1,KCMF1,explained_2hop_only
IQGAP1,EEF2,explained_2hop_only
CALCOCO1,ANAPC15,explained_2hop_only
PVT1,CTSZ,explained_2hop_only
STAT5A,ASH1L,explained_2hop_only
SOCS5,ITGA2,explained_2hop_only
TNFRSF14,SERINC3,explained_2hop_only
KMT2D,EPHB2,explained_2hop_only
CHUK,COMT,explained_2hop_only
CHUK,CLSTN1,explained_2hop_only
PDCD6,GTF2A2,explained_2hop_only
TNFSF10,BBS2,explained_2hop_only
REPIN1,MSN,explained_2hop_only
REST,ACTN1,explained_2hop_only
AGER,BUD23,explained_2hop_only
GABARAPL2,PSMA2,explained_2hop_only
STK38,MARCH5,explained_2hop_only
PECR,MAP4K4,explained_2hop_only
ROCK2,MARCKS,explained_2hop_only
TYRO3,ISG20L2,explained_2hop_only
KMT2D,LRPPRC,explained_2hop_only
AMT,GIPC1,explained_2hop_only
RAPGEF3,ROCK1,explained_2hop_only
NOS3,MKNK2,explained_2hop_only
FZD6,ARHGAP18,explained_2hop_only
ACCS,XBP1,explained_2hop_only
TRIP12,GLG1,explained_2hop_only
NEAT1,MT-ATP6,explained_2hop_only
ZNF827,TJP2,explained_2hop_only
HMGCR,FKBP14,explained_2hop_only
STAC3,BAX,explained_2hop_only
PLPP3,SLC20A1,explained_2hop_only
ROCK2,PWP1,explained_2hop_only
S100A10,TBRG4,explained_2hop_only
ARHGAP26,IKBKB,explained_2hop_only
FAM126A,PTMA,explained_2hop_only
PPP3CC,ITGB1,explained_2hop_only
CDH13,RRAGC,explained_2hop_only
PECR,LCMT1,explained_2hop_only
MESP1,TENT4B,explained_2hop_only
HIF1A,PRELID1,explained_2hop_only
TSFM,TPI1,explained_2hop_only
SMARCB1,TPT1,explained_2hop_only
BMPER,NUCB1,explained_2hop_only
FAM126A,MFSD10,explained_2hop_only
GSTM4,TP53I3,explained_2hop_only
GABARAPL2,SH3GLB1,explained_2hop_only
S100A10,SNCG,explained_2hop_only
AKAP12,TOR1AIP2,explained_2hop_only
HMGCR,LAMA5,explained_2hop_only
TNFRSF1B,PPM1G,explained_2hop_only
UIMC1,DPYSL2,explained_2hop_only
RAP1GDS1,PUM1,explained_2hop_only
CYP2J2,KHDRBS1,explained_2hop_only
ARHGAP26,CBX1,explained_2hop_only
PLBD2,COQ4,explained_2hop_only
SMAD3,CTSZ,explained_2hop_only
FLI1,ABI2,explained_2hop_only
EZR,DHPS,explained_2hop_only
RSPO3,STAU1,explained_2hop_only
MLEC,FAU,explained_2hop_only
CREB1,TSEN34,explained_2hop_only
ACOT8,RAB10,explained_2hop_only
AGER,MAPKAP1,explained_2hop_only
LIPG,IDI1,explained_2hop_only
VWF,UBA52,explained_2hop_only
MUS81,ITGB1,explained_2hop_only
DHCR24,FDFT1,explained_2hop_only
MIER3,THBD,explained_2hop_only
AMT,MT-CYB,explained_2hop_only
VPS45,MTR,explained_2hop_only
POLG2,DDIT4,explained_2hop_only
QTRT1,LMO7,explained_2hop_only
CREB1,PRNP,explained_2hop_only
DNMT3A,CYTL1,explained_2hop_only
VWF,ARHGAP5,explained_2hop_only
GSS,PDCD2,explained_2hop_only
CD40,OGFR,explained_2hop_only
UBE2D1,PCM1,explained_2hop_only
CLIC1,MYOF,explained_2hop_only
EHMT2,REEP3,explained_2hop_only
P2RX7,PLIN3,explained_2hop_only
PMAIP1,FKBP8,explained_2hop_only
ABHD2,CDKN2B,explained_2hop_only
ACSS2,KRT18,explained_2hop_only
HHAT,GALK1,explained_2hop_only
ACSS2,AKAP13,explained_2hop_only
CLIC1,TJP1,explained_2hop_only
BLOC1S3,SPTBN1,explained_2hop_only
IFIT1,MACF1,explained_2hop_only
ARG2,HIF1A,explained_2hop_only
DTYMK,SPARC,explained_2hop_only
TSLP,TMTC3,explained_2hop_only
GTF3A,C19orf53,explained_2hop_only
TYRO3,ADAMTS1,explained_2hop_only
ABHD16A,NUCKS1,explained_2hop_only
POGZ,FHL2,explained_2hop_only
NEAT1,COMMD8,explained_2hop_only
TRAF6,UBE2H,explained_2hop_only
NFKB2,PAIP2,explained_2hop_only
RAP1GDS1,PRDX1,explained_2hop_only
PDLIM2,NQO1,explained_2hop_only
S100A10,HNRNPA3,explained_2hop_only
PEX6,SPTBN1,explained_2hop_only
RAD50,NT5C3B,explained_2hop_only
SMAD3,ZDHHC5,explained_2hop_only
GNAS,FBXO9,explained_2hop_only
PMAIP1,LIMA1,explained_2hop_only
RAD50,CCT4,explained_2hop_only
KPNA2,TRIOBP,explained_2hop_only
OMA1,IFITM2,explained_2hop_only
S100A10,EIF3B,explained_2hop_only
EMP2,CDCP1,explained_2hop_only
RAB5B,SYNE1,explained_2hop_only
BABAM1,CDC42,explained_2hop_only
PLPP3,NIFK,explained_2hop_only
P2RX7,BRD4,explained_2hop_only
TBCEL,DLGAP4,explained_2hop_only
QPCT,TMED9,explained_2hop_only
AKAP12,RPS2,explained_2hop_only
LAPTM4A,ELMO1,explained_2hop_only
NOS3,PDLIM4,explained_2hop_only
IQGAP1,KRTCAP2,explained_2hop_only
LSP1,PRKAR1A,explained_2hop_only
REST,RPS27,explained_2hop_only
TRA2A,MYCBP2,explained_2hop_only
PRPH2,SHOC2,explained_2hop_only
GSTM2,NOL3,explained_2hop_only
KALRN,TSPAN31,explained_2hop_only
EVL,STK17A,explained_2hop_only
CREB1,C1orf43,explained_2hop_only
MLEC,PDHA1,explained_2hop_only
TNFSF10,COL27A1,explained_2hop_only
CREB1,TIMM17B,explained_2hop_only
ECE1,SHMT2,explained_2hop_only
TAOK1,SLC26A2,explained_2hop_only
IFIT1,CLU,explained_2hop_only
CD40,DPM1,explained_2hop_only
KDELR2,PDIA4,explained_2hop_only
MAP3K6,YBX1,explained_2hop_only
THBD,SLC25A6,explained_2hop_only
PLEKHA5,TFF3,explained_2hop_only
NOTCH4,PPP1R15A,explained_2hop_only
TIMM9,MDH2,explained_2hop_only
POLG2,PTPN1,explained_2hop_only
HSPA13,CTSB,explained_2hop_only
RAD50,G3BP2,explained_2hop_only
PVR,TMEM54,explained_2hop_only
ARG2,PSMD4,explained_2hop_only
KDM6B,RPL17,explained_2hop_only
CSDE1,FUS,explained_2hop_only
PRKAR1A,PAFAH1B1,explained_2hop_only
TNFSF10,TRIML2,explained_2hop_only
MESP1,ASAP2,explained_2hop_only
PLTP,MACF1,explained_2hop_only
THADA,CCDC85B,explained_2hop_only
MAST3,PPP2R5E,explained_2hop_only
NRP1,ZYG11B,explained_2hop_only
DET1,TPR,explained_2hop_only
RAB1A,IGF2BP2,explained_2hop_only
RAB1A,HERPUD1,explained_2hop_only
CHUK,ITGA6,explained_2hop_only
HMGCR,NCKAP1,explained_2hop_only
GSTM4,RPN1,explained_2hop_only
GSS,RGS12,explained_2hop_only
ZNF281,YWHAG,explained_2hop_only
IST1,LY96,explained_2hop_only
SMARCD2,BAX,explained_2hop_only
AKAP12,C20orf27,explained_2hop_only
MT1F,LDHB,explained_2hop_only
PRKAR1A,PPM1F,explained_2hop_only
FAM126A,RTF2,explained_2hop_only
FZD6,GSDME,explained_2hop_only
STAT5A,TTLL5,explained_2hop_only
SMAD3,KCNQ1OT1,explained_2hop_only
RAB3A,TERF2IP,explained_2hop_only
PDLIM2,HNRNPC,explained_2hop_only
CX3CL1,EMP1,explained_2hop_only
VWF,DLAT,explained_2hop_only
TRAF3IP2,SELENOS,explained_2hop_only
NUCB1,MSMO1,explained_2hop_only
EMP2,IRAK1,explained_2hop_only
DTYMK,FOXO1,explained_2hop_only
ITGB4,RABGAP1,explained_2hop_only
KPNA2,MALAT1,explained_2hop_only
SIX2,UTRN,explained_2hop_only
PRKAR1A,BRAF,explained_2hop_only
PMVK,PMP22,explained_2hop_only
CD40,TP53I3,explained_2hop_only
DHCR24,TPT1,explained_2hop_only
EMP2,KDM5A,explained_2hop_only
ACTG1,PEAK1,explained_2hop_only
CCRL2,F11R,explained_2hop_only
KPNA2,PLAT,explained_2hop_only
RASIP1,CCDC137,explained_2hop_only
ST3GAL4,TTF2,explained_2hop_only
ABHD16A,LRRFIP1,explained_2hop_only
SMARCB1,PPFIA1,explained_2hop_only
EZR,MRTO4,explained_2hop_only
TMEM38A,PGD,explained_2hop_only
IFIT1,FAM210B,explained_2hop_only
KPNA2,SEPTIN7,explained_2hop_only
AKAP12,GABBR2,explained_2hop_only
HHAT,IMMT,explained_2hop_only
OMA1,RWDD1,explained_2hop_only
DNMT3A,CUTA,explained_2hop_only
RASIP1,MFSD10,explained_2hop_only
SMARCC1,USP8,explained_2hop_only
KPNA2,ATP5PO,explained_2hop_only
MNT,ACO1,explained_2hop_only
CALCOCO1,IGFBP4,explained_2hop_only
IFIT1,PROCR,explained_2hop_only
ST3GAL4,RPL39,explained_2hop_only
DHCR24,NAMPT,explained_2hop_only
PSMD5,LAMB1,explained_2hop_only
MICALL2,CCND3,explained_2hop_only
TNXB,MTDH,explained_2hop_only
CDKN2B,SET,explained_2hop_only
NUDT1,DDX27,explained_2hop_only
ARPC2,COL6A1,explained_2hop_only
HIF1A,PRKACA,explained_2hop_only
REST,UBB,explained_2hop_only
DGKA,GSTP1,explained_2hop_only
LTB,NQO1,explained_2hop_only
IQGAP1,ATAD1,explained_2hop_only
TRA2A,SRRM2,explained_2hop_only
ZNF581,PSMA5,explained_2hop_only
NUCB1,ELK3,explained_2hop_only
NRP1,SMAD4,explained_2hop_only
FZD6,ARF4,explained_2hop_only
XPO7,SERPINE1,explained_2hop_only
GSTO1,MTDH,explained_2hop_only
TRIB1,DDX46,explained_2hop_only
ACOT8,HADHA,explained_2hop_only
RASIP1,PARVB,explained_2hop_only
QTRT1,ENG,explained_2hop_only
P4HA2,LAMB1,explained_2hop_only
NOTCH4,DDX56,explained_2hop_only
POLG2,TNFRSF1A,explained_2hop_only
PVT1,SIGMAR1,explained_2hop_only
ADAMTS7,IGFBP7,explained_2hop_only
PVR,RAB13,explained_2hop_only
CEP41,XRN2,explained_2hop_only
AKAP12,CCDC66,explained_2hop_only
IFIT1,NECAP2,explained_2hop_only
DMXL1,TGM2,explained_2hop_only
CEP41,GPX4,explained_2hop_only
PA2G4,PLPP1,explained_2hop_only
TRIM47,SIL1,explained_2hop_only
IFIT1,ADAM17,explained_2hop_only
MNT,PSMB2,explained_2hop_only
GTF3A,DAB2,explained_2hop_only
DNMT3A,ACBD3,explained_2hop_only
YES1,HAX1,explained_2hop_only
MICALL2,PLAUR,explained_2hop_only
XPO7,PTP4A2,explained_2hop_only
TNS2,IKBIP,explained_2hop_only
TTBK2,NDUFV3,explained_2hop_only
OS9,PGF,explained_2hop_only
AGAP2,AK4,explained_2hop_only
TRAF3IP2,FUOM,explained_2hop_only
TMUB1,BASP1,explained_2hop_only
CDKN2B,CEP55,explained_2hop_only
SCARB1,MZT2B,explained_2hop_only
MYH11,PEAK1,explained_2hop_only
OTUD7B,CHD2,explained_2hop_only
ARNT,CCDC80,explained_2hop_only
HSPA13,VAMP5,explained_2hop_only
IRF3,ZFAND5,explained_2hop_only
AKAP12,RRS1,explained_2hop_only
AGAP2,SLC25A36,explained_2hop_only
ITGA1,TIGAR,explained_2hop_only
UQCRC1,RPL41,explained_2hop_only
PA2G4,BLVRB,explained_2hop_only
RAP1A,LY96,explained_2hop_only
PRPH2,SPOP,explained_2hop_only
BABAM1,XBP1,explained_2hop_only
CHUK,DIP2A,explained_2hop_only
BAG6,HLA-A,explained_2hop_only
PLBD2,TTC17,explained_2hop_only
LMAN1,PSMB3,explained_2hop_only
PMAIP1,ZC3HAV1,explained_2hop_only
SOX4,BAZ1B,explained_2hop_only
SCARB1,HELZ,explained_2hop_only
PRKAR1A,SEC11A,explained_2hop_only
INPP5D,UBE2E2,explained_2hop_only
ARPC2,CST3,explained_2hop_only
TRIB1,FBN1,explained_2hop_only
THBD,ANK3,explained_2hop_only
OASL,UPF2,explained_2hop_only
MIER3,CCDC6,explained_2hop_only
PRKAR1A,NDUFA8,explained_2hop_only
PLXNB1,RGS4,explained_2hop_only
SMARCB1,PPIB,explained_2hop_only
PHF19,EP300,explained_2hop_only
ECE1,HS2ST1,explained_2hop_only
AGPAT1,ITCH,explained_2hop_only
ZNF281,RB1CC1,explained_2hop_only
TRIM68,HSPD1,explained_2hop_only
SELE,GADD45GIP1,explained_2hop_only
PVR,HMGA1,explained_2hop_only
GSTM4,APLP2,explained_2hop_only
MYH11,SENP6,explained_2hop_only
COG2,CPD,explained_2hop_only
EZR,TMEM245,explained_2hop_only
PPP3CC,SHOC2,explained_2hop_only
CLDN1,RB1CC1,explained_2hop_only
GTF3A,HMGN1,explained_2hop_only
TNFSF10,BMS1,explained_2hop_only
PRKD1,TMED5,explained_2hop_only
