source,target,classification
MTPAP,DPY30,experimental_pairs
ARNT,PCAT19,experimental_pairs
PDLIM7,KPNA1,experimental_pairs
ABHD2,BAG1,experimental_pairs
CPNE5,VAPB,experimental_pairs
C18orf32,PLIN3,experimental_pairs
CNPY3,HNRNPR,experimental_pairs
MANEA,ALDH2,experimental_pairs
VPS45,AHNAK,experimental_pairs
TRAF3IP2,NHP2,experimental_pairs
AGAP2,ANXA1,experimental_pairs
GSTO1,VIM,experimental_pairs
PLEKHH3,RPL18A,experimental_pairs
MIR762HG,COX5B,experimental_pairs
ABCG4,MBNL1,experimental_pairs
GSS,DSTN,experimental_pairs
MTPAP,RPSA,experimental_pairs
RNF146,SETX,experimental_pairs
AMT,MANBAL,experimental_pairs
COASY,CDC37,experimental_pairs
AMT,MYDGF,experimental_pairs
DNALI1,PSENEN,experimental_pairs
CD40,PAPSS2,experimental_pairs
CDKN2B,FBL,experimental_pairs
UIMC1,EEF1D,experimental_pairs
GSTO1,STRAP,experimental_pairs
RNFT1,RPL41,experimental_pairs
RAP1A,ATP5ME,experimental_pairs
UBE2D1,CCBE1,experimental_pairs
B3GNT8,PLS3,experimental_pairs
RASIP1,CTSZ,experimental_pairs
AAGAB,RNF181,experimental_pairs
YLPM1,INSIG1,experimental_pairs
PVT1,CAP1,experimental_pairs
PHLDA3,C7orf50,experimental_pairs
GCOM1,CLCN3,experimental_pairs
C1orf54,HADHA,experimental_pairs
SIX2,BRK1,experimental_pairs
REXO4,EIF4G2,experimental_pairs
DHCR24,TLE5,experimental_pairs
LPIN3,TOMM20,experimental_pairs
GLI2,RSRP1,experimental_pairs
PDLIM2,C6orf62,experimental_pairs
IQGAP1,NIPA2,experimental_pairs
ZSWIM3,MALSU1,experimental_pairs
ADAMTS10,SSR3,experimental_pairs
MICALL2,MPZL2,experimental_pairs
NRP1,VAT1,experimental_pairs
UQCRC1,FAM104A,experimental_pairs
ZNF827,CYTH2,experimental_pairs
BOLA1,RHOJ,experimental_pairs
DMXL1,GDF15,experimental_pairs
PHRF1,PYCR2,experimental_pairs
MRPL3,MT-CO3,experimental_pairs
NME6,TOX2,experimental_pairs
PDLIM2,HM13,experimental_pairs
MMP11,CARD8,experimental_pairs
GSTO2,RPL35,experimental_pairs
ATXN7L2,HIGD1A,experimental_pairs
KCTD9,VTA1,experimental_pairs
SEC61A2,OTUD6B-AS1,experimental_pairs
ARNT,CRELD2,experimental_pairs
MLEC,TBRG1,experimental_pairs
ARNT,TNFRSF12A,experimental_pairs
SHISA4,C8orf33,experimental_pairs
TRAPPC6A,COX8A,experimental_pairs
NUCB1,CALCOCO2,experimental_pairs
RAB13,TMEM165,experimental_pairs
TLR4,COPS9,experimental_pairs
TSFM,NR2F2,experimental_pairs
AMT,COPB1,experimental_pairs
PDLIM2,RAB31,experimental_pairs
LTN1,MMAB,experimental_pairs
MGA,FBN1,experimental_pairs
POLG,MT-ND3,experimental_pairs
XPO7,PTTG1,experimental_pairs
IQGAP1,HSP90B1,experimental_pairs
PDP1,IER5L,experimental_pairs
