source,intermediate,target,stmt_type_1,stmt_type_2,belief_1,belief_2,evidence_1,evidence_2,logfoldchange,pvalue
SMAD3,hgnc:6349,FLT1,Inhibition,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6349,FLT1,Complex,DecreaseAmount,0.993,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.941,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Activation,DecreaseAmount,0.941,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.941,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Inhibition,DecreaseAmount,0.941,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.86,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.94999822853,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,IncreaseAmount,DecreaseAmount,0.9825,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Inhibition,DecreaseAmount,0.99174,0.79,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.86,0.79,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.86,0.79,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.65,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,IncreaseAmount,DecreaseAmount,0.95,0.79,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Activation,DecreaseAmount,0.99840995,0.79,4,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.86,0.79,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.65,0.79,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.949980317,0.79,9,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6204,FLT1,Complex,DecreaseAmount,0.9999999994606893,0.79,70,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6188,FLT1,Activation,IncreaseAmount,0.949271,0.65,6,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6081,FLT1,IncreaseAmount,IncreaseAmount,0.65,0.86,1,2,0.5718594,0.0003684610745881
