source,target,stmt_type,belief,evidence_count,logfoldchange,pval
TP53,TYMS,DecreaseAmount,0.9615,2,0.92146397,0.0002338161671787
TP53,TXNRD1,IncreaseAmount,0.65,1,0.26581016,0.001459078565565
TP53,TXN,IncreaseAmount,0.9497812999999999,6,0.09166251,0.0053158322644372
TP53,TXN,DecreaseAmount,0.86,2,0.09166251,0.0053158322644372
TP53,TXN,IncreaseAmount,0.65,1,0.09166251,0.0053158322644372
TP53,C1QBP,IncreaseAmount,0.65,1,0.30268317,2.5106006827195805e-05
TP53,TTK,IncreaseAmount,0.65,1,1.7222838,0.0310147681553163
TP53,TTK,DecreaseAmount,0.8775000000000001,2,1.7222838,0.0310147681553163
TP53,TPT1,DecreaseAmount,0.65,1,-0.059045527,0.0056842035963894
TP53,TPT1,DecreaseAmount,0.9824999832596085,14,-0.059045527,0.0056842035963894
TP53,TPT1,IncreaseAmount,0.923,3,-0.059045527,0.0056842035963894
TP53,ICMT,DecreaseAmount,0.65,1,0.55337596,0.0368887980214672
TP53,ICAM2,DecreaseAmount,0.65,1,-0.3808852,5.4880998386393554e-05
TP53,ICAM2,DecreaseAmount,0.86,1,-0.3808852,5.4880998386393554e-05
TP53,ICAM2,IncreaseAmount,0.923,3,-0.3808852,5.4880998386393554e-05
TP53,HSPG2,IncreaseAmount,0.65,1,-0.6751594,1.218183774695259e-15
TP53,HSPD1,IncreaseAmount,0.65,1,0.40282354,2.770375268735905e-11
TP53,HSP90AB1,IncreaseAmount,0.65,1,0.1834544,2.496656280438644e-06
TP53,HSP90AB1,DecreaseAmount,0.9615,2,0.1834544,2.496656280438644e-06
TP53,HSPA9,IncreaseAmount,0.86,2,0.46194646,0.0003376788648504
TP53,HSPA8,DecreaseAmount,0.65,1,0.08742024,0.0375732920485238
TP53,HSPA8,IncreaseAmount,0.65,1,0.08742024,0.0375732920485238
TP53,LGMN,IncreaseAmount,0.65,1,-0.40741485,0.0420024154417552
TP53,PRKDC,DecreaseAmount,0.65,1,0.42298636,2.4397192014030785e-08
TP53,PRKDC,DecreaseAmount,0.86,1,0.42298636,2.4397192014030785e-08
TP53,SRGN,IncreaseAmount,0.65,1,-0.31130052,1.2200524587804494e-07
TP53,PRDX5,DecreaseAmount,0.79,1,-0.18415354,0.0066630971603041
TP53,PRC1,DecreaseAmount,0.65,1,1.9225626,4.738223367137118e-15
TP53,PRC1,IncreaseAmount,0.8775000000000001,2,1.9225626,4.738223367137118e-15
TP53,PRC1,DecreaseAmount,0.999680324205947,13,1.9225626,4.738223367137118e-15
TP53,COL4A1,IncreaseAmount,0.9804,4,-0.453504,1.1195919516948522e-05
