gene,deg_count,explained_unique_targets,percent_explained
DHCR24,0,0,
ZNF235,0,0,
PMAIP1,0,0,
ABHD2,0,0,
ALKBH3,0,0,
MT1E,0,0,
MLEC,0,0,
PPP3CC,0,0,
ZSWIM3,0,0,
CDCA2,0,0,
FLI1,0,0,
SMARCB1,0,0,
EMP2,0,0,
CUL9,0,0,
SMIM13,0,0,
TYRO3,0,0,
UIMC1,0,0,
INPP5B,0,0,
VWF,0,0,
IRF3,0,0,
DHTKD1,0,0,
UHRF1BP1,0,0,
MFSD4B,0,0,
GSTM4,0,0,
SLC22A4,0,0,
ALS2CL,0,0,
RSPO3,0,0,
AGER,0,0,
CNPY3,0,0,
SMARCD2,0,0,
ZNF296,0,0,
SBF2,0,0,
ACSS2,0,0,
IST1,0,0,
STAT5A,0,0,
NUDT18,0,0,
PARP12,0,0,
FGD6,0,0,
TRAPPC6A,0,0,
