source,target,stmt_type,english_stmt,belief,evidence_count,logfoldchange,pval,stmt_hash,source_counts
EGR1,UBTF,DecreaseAmount,,0.6309317981560123,2,0.4953649,0.0334421240483134,22688761736555029,{'pc': 2}
EGR1,DDX5,DecreaseAmount,,0.6301266297471854,1,0.15179919,0.0478343929268305,-16235615627826250,{'pc': 1}
EGR1,ID1,IncreaseAmount,,0.48445268803510766,1,-0.43312305,0.0470710790804438,14920212146604487,{'reach': 1}
EGR1,ID1,IncreaseAmount,,0.6488682676978899,3,-0.43312305,0.0470710790804438,-15031122526269532,"{'medscan': 2, 'reach': 1}"
EGR1,ATG12,DecreaseAmount,,0.6309317981560123,2,-0.40771136,0.041334431789558,-32817936849403269,{'pc': 2}
EGR1,AKAP12,DecreaseAmount,,0.6301266297471854,1,-0.51716936,0.0401641457636242,-18544714522422246,{'pc': 1}
EGR1,SLC25A23,DecreaseAmount,,0.6301266297471854,1,-0.61746466,0.0365686376788917,7883798997747934,{'pc': 1}
EGR1,ADAM17,IncreaseAmount,,0.47153156304100474,2,-0.7531247,0.0245179669818565,-9915147097939612,{'reach': 2}
EGR1,TGFB1I1,DecreaseAmount,,0.6301266297471854,1,-0.38498792,0.0177341574634939,30362907800232587,{'pc': 1}
EGR1,DYNC1LI1,DecreaseAmount,,0.6301266297471854,1,-0.5099114,0.0143924298896746,-35484924693882382,{'pc': 1}
RAB1A,VIM,IncreaseAmount,,0.47153156304100474,2,0.05449917,0.027319367628603,22233165057850554,{'reach': 2}
RAB1A,VIM,DecreaseAmount,,0.4684848027297138,2,0.05449917,0.027319367628603,1827461517612562,{'reach': 2}
TLR4,CDKN1A,IncreaseAmount,,0.47153156304100474,2,0.37287983,0.0181808485615789,-1746057251675886,{'reach': 2}
TLR4,FBXW7,IncreaseAmount,,0.6163664161553967,1,0.51190275,0.0384441653111862,-4922156377279987,{'medscan': 1}
TLR4,FN1,IncreaseAmount,,0.6781565396085674,5,0.24844936,0.0433439433849183,-2297015151360552,"{'medscan': 1, 'reach': 4}"
TLR4,NR2F6,DecreaseAmount,,0.47385749870081684,1,-0.6609215,0.0158753967379767,3520066293160433,{'reach': 1}
TLR4,NPM1,DecreaseAmount,,0.47385749870081684,1,-0.16799277,0.0102996258126054,3680069425241675,{'reach': 1}
TLR4,NPM1,IncreaseAmount,,0.48445268803510766,1,-0.16799277,0.0102996258126054,-28770395596370319,{'reach': 1}
ACTG1,ACTB,DecreaseAmount,,0.47385749870081684,1,0.2200847,5.94083934078941e-07,29423949278580581,{'reach': 1}
ACTG1,WASF2,DecreaseAmount,,0.47385749870081684,1,-0.3950445,0.0281773232110623,28692019171458119,{'reach': 1}
NOS3,APPL1,IncreaseAmount,,0.48445268803510766,1,0.3595708,0.0298519262401432,30582329458778695,{'reach': 1}
NOS3,TIMP1,IncreaseAmount,,0.47153156304100474,2,0.18822925,0.0381162635358444,30194270328698568,{'reach': 2}
NOS3,EDN1,DecreaseAmount,,0.47385749870081684,1,-0.59793997,0.043104663743886,24522784528268649,{'reach': 1}
NOS3,EDN1,DecreaseAmount,,0.5129116289874748,6,-0.59793997,0.043104663743886,-15859339378973385,{'reach': 6}
NOS3,EDN1,IncreaseAmount,,0.48445268803510766,1,-0.59793997,0.043104663743886,26344568705205925,{'reach': 1}
NOS3,EDN1,IncreaseAmount,,0.6860801552104046,6,-0.59793997,0.043104663743886,-27044736283237351,"{'medscan': 1, 'reach': 5}"
NOS3,TGM2,IncreaseAmount,,0.48445268803510766,1,-0.117787674,0.02468464563638,-18761655766472175,{'reach': 1}
NOS3,THBS1,DecreaseAmount,,0.48507422499106756,3,-0.5674321,0.0246808960883851,-28573645615224157,{'reach': 3}
BMPER,PCNA,DecreaseAmount,,0.47385749870081684,1,0.7443756,0.0114885660323374,22387767882152609,{'reach': 1}
SETD3,HNRNPK,IncreaseAmount,,0.48445268803510766,1,-0.19200735,0.0354140808909157,-28627410697127071,{'reach': 1}
UQCRC1,BAX,DecreaseAmount,,0.47385749870081684,1,-0.24197441,0.0140468285618537,-14356749974244660,{'reach': 1}
EZR,CTTN,IncreaseAmount,,0.48445268803510766,1,0.34638286,0.0410429742727176,5965950890350913,{'reach': 1}
EZR,CTNNB1,DecreaseAmount,,0.4684848027297138,2,-0.5684989,0.0090742043400677,24253946997784097,{'reach': 2}
TNXB,BAX,DecreaseAmount,,0.4684848027297138,2,-0.19466251,0.0074598479306732,-7569820576651060,{'reach': 2}
P2RX7,HSPB1,DecreaseAmount,,0.4684848027297138,2,0.19288,0.0060445664159603,14719523023956989,{'reach': 2}
P2RX7,CD81,DecreaseAmount,,0.47385749870081684,1,0.16083325,0.0363240087378307,-26928663344724690,{'reach': 1}
P2RX7,SREBF1,IncreaseAmount,,0.48445268803510766,1,-0.9253162,0.0330283852826399,21147365080828109,{'reach': 1}
P2RX7,HMGB1,IncreaseAmount,,0.4861942171195036,11,-0.16195768,0.0216793993072927,18959173044807745,{'reach': 11}
P2RX7,HMGB1,DecreaseAmount,,0.4684848027297138,2,-0.16195768,0.0216793993072927,-853361599258250,{'reach': 2}
P2RX7,CAV1,IncreaseAmount,,0.47153156304100474,2,-0.21291047,0.0114268755674315,23170988563914918,{'reach': 2}
ITGB4,PTK2,IncreaseAmount,,0.47153156304100474,2,-0.30914155,0.0318194897554889,-21250782093798363,{'reach': 2}
DNMT3A,CDKN1A,IncreaseAmount,,0.48445268803510766,1,0.3059091,0.0168115697713021,-12562511934079218,{'reach': 1}
DNMT3A,CDKN1A,DecreaseAmount,,0.6210338561161125,6,0.3059091,0.0168115697713021,-19453339977762572,"{'reach': 1, 'pc': 5}"
IQGAP1,CCND1,IncreaseAmount,,0.6288425533311273,2,-0.31111857,0.0177701784671469,4719853509739588,"{'reach': 1, 'medscan': 1}"
ABHD17C,SLC16A1,IncreaseAmount,,0.47153156304100474,2,0.6326588,0.0041793014182246,-756115539646287,{'reach': 2}
PLPP3,CTNNB1,DecreaseAmount,,0.47385749870081684,1,0.39352438,0.0382439780394716,1658331369909375,{'reach': 1}
PLPP3,CTNNB1,IncreaseAmount,,0.6488682676978899,4,0.39352438,0.0382439780394716,-15016756582026315,"{'medscan': 2, 'reach': 2}"
RGS12,TEAD1,DecreaseAmount,,0.47385749870081684,1,-0.7452888,0.0375212416859513,5071393680866455,{'reach': 1}
RGS12,VIM,DecreaseAmount,,0.47385749870081684,1,-0.082251325,0.0066951517654336,-9373438245516188,{'reach': 1}
POLG,SSBP1,IncreaseAmount,,0.47153156304100474,2,-0.4563767,0.0017219392087685,25947906190107600,{'reach': 2}
TNFRSF1B,UCP2,IncreaseAmount,,0.48445268803510766,1,0.7498844,0.0290332502821356,22864312291652033,{'reach': 1}
TNFRSF1B,CYCS,IncreaseAmount,,0.48445268803510766,1,-0.32945305,0.0291454783604059,8286299091505060,{'reach': 1}
TNFRSF1B,TXN,DecreaseAmount,,0.4684848027297138,2,-0.25143313,0.0154426396417367,23075368731589943,{'reach': 2}
SOX4,HES1,IncreaseAmount,,0.47153156304100474,1,-0.8383733,0.0416745790339739,-19528034907447060,{'reach': 1}
SOX4,HES1,IncreaseAmount,,0.48445268803510766,1,-0.8383733,0.0416745790339739,-19379453247926281,{'reach': 1}
SOX4,ABCF1,IncreaseAmount,,0.47153156304100474,2,-0.41421422,0.0407074967441284,-28560915461068661,{'reach': 2}
SOX4,GPX4,DecreaseAmount,,0.47385749870081684,1,-0.18624957,0.0310185923077457,7708101102639059,{'reach': 1}
MYEOV,CCND1,IncreaseAmount,,0.6442060509411052,3,0.47592026,0.0001143785326805,-34314692960528401,"{'medscan': 1, 'reach': 2}"
PHF19,HIF1A,IncreaseAmount,,0.48445268803510766,1,-0.34906313,0.0260208008835908,16847555560472222,{'reach': 1}
CDH13,AKT3,DecreaseAmount,,0.4684848027297138,2,-0.7100102,0.0157479219327631,24512735239927116,{'reach': 2}
NUB1,SQSTM1,IncreaseAmount,,0.48445268803510766,1,0.248485,0.0419582276178995,19089823520630543,{'reach': 1}
NUB1,NEDD8,IncreaseAmount,,0.6442060509411052,3,-0.17037643,0.0413665438924531,-183608627291165,"{'reach': 2, 'medscan': 1}"
NUB1,NEDD8,DecreaseAmount,,0.48507422499106756,3,-0.17037643,0.0413665438924531,16360746699936027,{'reach': 3}
NUB1,NEDD8,DecreaseAmount,,0.7342546446903203,8,-0.17037643,0.0413665438924531,-28648673727416968,"{'medscan': 3, 'reach': 5}"
HIF1A,NCOA3,DecreaseAmount,,0.6324007949925685,1,0.6560204,0.0004262256096631,3321576329283230,{'medscan': 1}
HIF1A,DICER1,DecreaseAmount,,0.47385749870081684,1,0.67676073,0.0034062926173334,-25829712495700911,{'reach': 1}
HIF1A,DICER1,IncreaseAmount,,0.48445268803510766,1,0.67676073,0.0034062926173334,-33696777779212899,{'reach': 1}
HIF1A,ITGA2,IncreaseAmount,,0.48445268803510766,1,0.35955805,0.0340027338719182,-15027710348848414,{'reach': 1}
HIF1A,RER1,IncreaseAmount,,0.48445268803510766,1,0.32888117,0.0398658004903113,7388722994333842,{'reach': 1}
HIF1A,NR3C1,DecreaseAmount,,0.47385749870081684,1,0.5873461,0.048553108247627,-26374915009177038,{'reach': 1}
HIF1A,NR3C1,IncreaseAmount,,0.5028536023408147,3,0.5873461,0.048553108247627,-22518620940625963,{'reach': 3}
